콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
112014,남편 미행하다 벌려,남편 미행하다 벌려,소설,키다리스튜디오,단행본,박은녀,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112021,남편에 대한 복수,남편에 대한 복수,소설,키다리스튜디오,단행본,초이,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112049,내 사랑 미스터 바르셀로나,내 사랑 미스터 바르셀로나,소설,키다리스튜디오,단행본,이향,비성인,,현대로맨스,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112190,노처녀 특별세일 기간,노처녀 특별세일 기간,소설,키다리스튜디오,단행본,한여름,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112219,뇌신혈,뇌신혈,소설,키다리스튜디오,단행본,내가위,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112272,능력 믿고 막 간다,능력 믿고 막 간다,소설,키다리스튜디오,단행본,반취객,비성인,남성향,판타지,소설편집팀,이선근,29,0,29,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112282,다리벌린 여자,다리벌린 여자,소설,키다리스튜디오,단행본,이수,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112284,다시 사랑,다시 사랑,소설,키다리스튜디오,단행본,최현자,성인,여성향,현대로맨스,소설2팀,김인희,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112295,닥터 매리지,닥터 매리지,소설,키다리스튜디오,단행본,송민선,성인,,"현대로맨스,로맨스",패밀리케어팀,남단미,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112363,달빛 그림자 명림현,달빛 그림자 명림현,소설,키다리스튜디오,단행본,수련,비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112388,달콤한 복수,달콤한 복수,소설,키다리스튜디오,단행본,"박연아,전기양",비성인,,"현대로맨스,BL",패밀리케어팀,남단미,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112400,달콤한 최면 세트,달콤한 최면 세트,소설,키다리스튜디오,단행본,꾸밍크,성인,여성향,BL,봄툰소설편집팀,배지은,4,0,4,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112440,대도란,대도란,소설,키다리스튜디오,단행본,내가위,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112460,대상천하,대상천하,소설,키다리스튜디오,단행본,"천중행,천중행박재영",비성인,남성향,무협,소설편집팀,이선근,8,0,8,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112497,더 뜨겁게,더 뜨겁게,소설,키다리스튜디오,단행본,송민선,성인,,현대로맨스,소설편집팀,이선근,3,0,3,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112523,더치프,더치프,소설,키다리스튜디오,단행본,"권대현,라이먼",비성인,,판타지,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112588,독수혈랑,독수혈랑,소설,키다리스튜디오,단행본,아도인,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
