판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
131393,130002,납치한 도련님이 갑질을 시작한다,납치한도련님이갑질을시작한다,1,봄툰KR(1068149784),472762,납치한도련님이갑질을시작한다,14262,소설,완결,2020-06-27,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131409,130018,그들이 사랑하는 방식,그들이사랑하는방식,1,봄툰KR(1068149784),472777,그들이사랑하는방식,16800,소설,완결,2021-01-15,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131576,130179,오늘 밤에도 당신은,오늘밤에도당신은,1,봄툰KR(1068149784),464485,도서출판가하,36432,소설,완결,2024-06-27,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131720,130315,허니문 스캔들,허니문스캔들,1,봄툰KR(1068149784),473000,허니문스캔들,17254,소설,완결,2021-03-04,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131947,130534,위험한 재판,위험한재판,1,봄툰KR(1068149784),473161,위험한재판,6795,소설,완결,2018-04-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131998,130585,후즈 유어 대디? (Whos your daddy?),후즈유어대디,1,봄툰KR(1068149784),465068,후즈유어대디,14841,소설,완결,2020-09-23,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
131999,130586,늑대들과의 밤,늑대들과의밤,1,봄툰KR(1068149784),473207,늑대들과의밤,14867,소설,완결,2020-09-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132001,114028,술탄의 밤,술탄의밤,1,봄툰KR(1068149784),460350,술탄의밤,14969,소설,완결,2020-09-05,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132003,130589,티라미슈,티라미슈,1,봄툰KR(1068149784),473209,티라미슈,15041,소설,완결,2020-09-24,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132075,130659,뜨거운 너라서(19세 개정판),뜨거운너라서,1,봄툰KR(1068149784),465802,뜨거운너라서,25925,소설,완결,2022-12-09,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132097,130679,색정귀가 퇴마사에게 살아남는 법,색정귀가퇴마사에게살아남는법,1,봄툰KR(1068149784),471254,색정귀가퇴마사에게살아남는법,29378,소설,완결,2023-07-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132303,130877,스무스 크리미널,스무스크리미널,1,봄툰KR(1068149784),473421,스무스크리미널,13546,소설,완결,2020-04-10,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132329,130902,눈 떠 보니 너네 집,눈떠보니너네집,1,봄툰KR(1068149784),473443,눈떠보니너네집,17634,소설,완결,2021-04-05,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132330,130903,폭군의 공물,폭군의공물,1,봄툰KR(1068149784),473444,폭군의공물,17911,소설,완결,2021-04-15,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132352,130925,몰르멍,몰르멍,1,봄툰KR(1068149784),473465,몰르멍,21671,소설,완결,2022-01-25,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132387,130960,달에 씐 밤,달에씐밤,1,봄툰KR(1068149784),473498,달에씐밤,26536,소설,완결,2023-01-26,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
132786,131338,연애는 악마의 장난이다,연애는악마의장난이다,1,봄툰KR(1068149784),389292,테라핀(구_코핀),36134,소설,완결,2024-06-18,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
